move_count,click_count,left_click_count,right_click_count,scroll_count,event_rate,path_length,displacement,straightness,speed_mean,speed_std,speed_max,acceleration_mean,acceleration_std,acceleration_max,direction_change_mean,direction_change_std,click_interval_mean,click_interval_std,click_hold_mean,click_hold_std,double_click_count,scroll_abs_total,scroll_abs_mean,scroll_interval_mean,scroll_interval_std
199,2,2,0,0,35.84159317426556,1648.7802015757536,695.3740000891606,0.4217505762287694,1040.681460562372,834.4681213778624,3531.1200159506984,22181.338313684515,26271.60955221708,187149.92068154423,10.383177871048945,16.318910741919677,0.8981037139892578,0.0,0.0590517520904541,0.0051009654998779,0.0,0.0,0.0,0.0,0.0
113,2,1,1,1,50.85598179193276,1406.895473237075,366.6019639881925,0.2605751251332775,1568.2712783883107,1497.9115879357432,6127.367217196455,29767.51587494782,35697.490162926326,171099.10421783308,7.787602095673336,13.314039624463131,0.630734920501709,0.0,0.0473494529724121,0.0327105522155761,0.0,1.0,1.0,0.0,0.0
116,2,1,1,11,20.16489939530312,1410.3096867994482,364.72592449673766,0.2586140674708442,1529.9827579697935,1496.690072944854,6127.367217196455,29235.86949200531,35404.773282849026,171099.10421783308,8.784362753824945,14.443470497995325,0.630734920501709,0.0,0.0473494529724121,0.0327105522155761,0.0,11.0,1.0,0.4176159381866455,0.7958207381392488
169,3,2,1,13,19.54992388703869,1778.2993186956855,54.589376255824725,0.0306975185121613,1322.410261429052,1301.3621817905432,6127.367217196455,28075.05493526772,33463.83939802753,178465.1483908,8.32771897692618,14.633485622976291,4.508541703224182,3.877806782722473,0.0547928810119628,0.0287076539060909,0.0,13.0,1.0,0.391337772210439,0.7351910411141509
210,1,1,0,12,29.599520597729267,1265.821785204703,1206.1658260786533,0.9528717550737978,756.1066385799205,688.6015735172609,2537.5557750331623,18675.685018870216,21164.94108863345,178465.1483908,15.148268168345062,20.65081689885415,0.0,0.0,0.0696797370910644,0.0,0.0,12.0,1.0,0.1854585084048184,0.2846181806329728
339,3,3,0,15,37.31510924289878,2584.6695482211644,456.84680145536754,0.1767524988909244,954.570460176901,1187.6153957299996,6593.247628746947,21961.78292980679,26416.266990438264,202886.5218636793,15.89204744589052,27.47545149649136,4.450799107551575,3.834982752799988,0.0763964653015136,0.0081263701472468,0.0,15.0,1.0,0.0891337735312325,0.127685563277185
234,2,2,0,19,36.21920854727201,2023.765996319124,858.6926108916974,0.4243042982506421,1076.8527693646931,1596.1378814204825,6593.247628746947,25555.9422909122,31970.175278458788,202886.5218636793,33.73391110594309,57.22315936607085,0.6158163547515869,0.0,0.0797548294067382,0.0080759525299072,0.0,19.0,1.0,0.3777683708402846,1.1044610246512503
418,4,4,0,14,44.53382029921375,3616.8798930122666,1289.049262053239,0.3563981387780264,1077.381984296887,1476.3616931867912,6593.247628746947,23980.5595346148,29996.768422154222,202886.5218636793,26.005575459609283,47.4173108035502,2.7971908251444497,2.709493385999222,0.0678818225860595,0.0174410524160321,0.0,14.0,1.0,0.592010681445782,1.2932539176181437
432,5,5,0,12,45.43564608979776,4190.392859598514,196.12750954417385,0.0468040864223324,1227.078582335603,1613.67115179148,7599.801655438977,36456.41476648624,140155.27197289257,2614705.324626806,24.62985535662607,46.867079661156566,2.3904333114624023,2.4499736389174784,0.0667978286743164,0.0157496799556629,0.0,12.0,1.0,0.2545760328119451,0.4014511878862932
295,4,4,0,11,32.2545577105919,2578.440977364892,471.4764044997374,0.1828532856243913,1116.4433571420975,1430.798759550115,7599.801655438977,38141.7735096371,167847.35709948398,2614705.324626806,14.56420228173621,26.73895216704029,2.31727925936381,1.6297093620425849,0.0556036829948425,0.0125360851204962,0.0,11.0,1.0,0.219125747680664,0.4042961934103103
